Target,Model,BestParams,R2,MSE
frac_23,Lasso,{'model__alpha': 0.001},0.0,1.1919455483054742e-08
frac_23,GBR,"{'model__learning_rate': 0.05, 'model__n_estimators': 50}",0.0,1.1919455483054742e-08
frac_23,RandomForest,"{'model__max_depth': 3, 'model__n_estimators': 50}",-0.0011361617089660214,1.1932997911966315e-08
frac_23,SVR,"{'model__C': 0.1, 'model__kernel': 'linear'}",-0.3264295905260419,1.581031845568169e-08
frac_24,Ridge,{'model__alpha': 0.1},0.0,1.7149887415871123e-08
frac_24,Lasso,{'model__alpha': 0.001},0.0,1.7149887415871123e-08
frac_24,GBR,"{'model__learning_rate': 0.05, 'model__n_estimators': 50}",0.0,1.7149887415871123e-08
frac_24,RandomForest,"{'model__max_depth': 3, 'model__n_estimators': 100}",-1.1853131587358234e-08,1.7149887619150997e-08
frac_24,SVR,"{'model__C': 0.1, 'model__kernel': 'linear'}",-0.007864280740841556,1.7284758945183358e-08
frac_25,Ridge,{'model__alpha': 0.1},0.0,3.0218453715648795e-08
frac_25,Lasso,{'model__alpha': 0.001},0.0,3.0218453715648795e-08
frac_25,GBR,"{'model__learning_rate': 0.05, 'model__n_estimators': 50}",0.0,3.0218453715648795e-08
frac_25,RandomForest,"{'model__max_depth': 3, 'model__n_estimators': 100}",-0.0018734824192434552,3.027506745742178e-08
frac_25,SVR,"{'model__C': 0.1, 'model__kernel': 'linear'}",-0.5669999508906984,4.73523154884145e-08
frac_26,Ridge,{'model__alpha': 0.1},0.0,1.4024195867334521e-07
frac_26,Lasso,{'model__alpha': 0.001},0.0,1.4024195867334521e-07
frac_26,GBR,"{'model__learning_rate': 0.05, 'model__n_estimators': 50}",0.0,1.4024195867334521e-07
frac_26,RandomForest,"{'model__max_depth': 3, 'model__n_estimators': 100}",-0.005426896440080098,1.4100303725961947e-07
frac_26,SVR,"{'model__C': 0.1, 'model__kernel': 'linear'}",-0.24929369061836493,1.7520339413057167e-07
frac_27,Ridge,{'model__alpha': 0.1},0.0,6.314455592110409e-07
frac_27,Lasso,{'model__alpha': 0.001},0.0,6.314455592110409e-07
frac_27,GBR,"{'model__learning_rate': 0.05, 'model__n_estimators': 50}",0.0,6.314455592110409e-07
frac_27,RandomForest,"{'model__max_depth': 3, 'model__n_estimators': 100}",-0.005344268251404882,6.34820173665623e-07
frac_27,SVR,"{'model__C': 0.1, 'model__kernel': 'linear'}",-0.7662927067351386,1.1153176859347528e-06
frac_28,Ridge,{'model__alpha': 0.1},0.0,8.880265920459282e-07
frac_28,Lasso,{'model__alpha': 0.001},0.0,8.880265920459282e-07
frac_28,GBR,"{'model__learning_rate': 0.05, 'model__n_estimators': 50}",0.0,8.880265920459282e-07
frac_28,RandomForest,"{'model__max_depth': 3, 'model__n_estimators': 100}",-0.004368271177289662,8.919057330126292e-07
frac_28,SVR,"{'model__C': 0.1, 'model__kernel': 'linear'}",-0.48484700472180364,1.3185836253127076e-06
frac_29,Ridge,{'model__alpha': 0.1},0.0,8.688721906725003e-07
frac_29,Lasso,{'model__alpha': 0.001},0.0,8.688721906725003e-07
frac_29,GBR,"{'model__learning_rate': 0.05, 'model__n_estimators': 50}",0.0,8.688721906725003e-07
frac_29,RandomForest,"{'model__max_depth': 3, 'model__n_estimators': 100}",-0.004239641150973528,8.72555896967012e-07
frac_29,SVR,"{'model__C': 0.1, 'model__kernel': 'linear'}",-0.4088085184546988,1.2240745436678136e-06
frac_30,Ridge,{'model__alpha': 0.1},0.0,8.309361340034765e-07
frac_30,Lasso,{'model__alpha': 0.001},0.0,8.309361340034765e-07
frac_30,GBR,"{'model__learning_rate': 0.05, 'model__n_estimators': 50}",0.0,8.309361340034765e-07
frac_30,RandomForest,"{'model__max_depth': 3, 'model__n_estimators': 50}",-0.0021168264650117674,8.326950816026696e-07
frac_30,SVR,"{'model__C': 0.1, 'model__kernel': 'linear'}",-0.23010143307135866,1.022135729228451e-06
